Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),n
206.64,1.422
208.38,1.427
210.14,1.43
211.94,1.431
213.77,1.432
215.63,1.435
217.52,1.438
219.44,1.44
221.4,1.442
223.4,1.447
225.43,1.452
227.5,1.453
229.6,1.454
231.75,1.458
233.93,1.462
236.16,1.466
238.43,1.47
240.75,1.474
243.11,1.478
245.52,1.481
247.97,1.484
250.48,1.487
253.03,1.49
255.64,1.495
258.3,1.504
261.02,1.523
263.8,1.546
266.63,1.572
269.53,1.598
272.49,1.624
275.52,1.648
278.62,1.669
281.78,1.69
285.02,1.717
288.34,1.742
291.73,1.76
295.2,1.776
298.76,1.795
302.4,1.812
306.14,1.823
309.96,1.83
313.89,1.837
317.91,1.84
322.04,1.834
326.28,1.824
330.63,1.812
335.1,1.798
339.69,1.782
344.4,1.766
349.25,1.753
354.24,1.74
359.38,1.728
364.66,1.716
370.11,1.706
375.71,1.696
381.49,1.685
387.45,1.674
393.6,1.666
399.95,1.658
406.51,1.647
413.28,1.636
420.29,1.628
427.54,1.616
435.04,1.596
442.8,1.562
450.86,1.502
459.2,1.426
467.87,1.346
476.87,1.242
486.22,1.087
495.94,0.916
506.06,0.755
516.6,0.608
527.6,0.492
539.07,0.402
551.05,0.346
563.57,0.306
576.68,0.268
590.41,0.236
604.81,0.212
619.93,0.194
635.82,0.178
652.55,0.166
670.19,0.161
688.81,0.16
708.49,0.161
729.32,0.164
751.43,0.17
774.91,0.176
799.9,0.181
826.57,0.188
855.07,0.198
885.61,0.21
918.41,0.222
953.73,0.236
991.88,0.253
1033.21,0.272
1078.13,0.291
1127.14,0.312
1180.81,0.339
1239.85,0.372
1305.11,0.41
1377.61,0.454
1458.65,0.503
1549.81,0.559
1653.14,0.622
1771.22,0.696
1907.46,0.785
2066.42,0.896
2254.28,1.034
2479.7,1.205
